tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
2,MED,1130 + 1155,1154 + 1202,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3637' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 2)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1130 + 1156,1154 + 1203,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3637' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1130 + 1157,1154 + 1204,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3637' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1131 + 1154,1155 + 1201,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3638' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 1)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1131 + 1155,1155 + 1202,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3638' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 2)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1131 + 1156,1155 + 1203,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3638' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1131 + 1157,1155 + 1204,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3638' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 4)').",verify by source: is the placeholder the same slot as the named row?
4,LOW,1162 + 1163,1209 + 1210,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,match on builder/owner/capacity but rows carry distinct ordinals [1] vs [2] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1162 + 1164,1209 + 1211,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,match on builder/owner/capacity but rows carry distinct ordinals [1] vs [3] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1163 + 1164,1210 + 1211,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,match on builder/owner/capacity but rows carry distinct ordinals [2] vs [3] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1160 + 1161,1207 + 1208,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,match on builder/owner/capacity but rows carry distinct ordinals [1] vs [2] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
